18.00 -114.00 -62.00 | 41.00 -58.00 -69.00
-62.00 -87.00 -42.00 | -52.00 -39.00 -41.00
-63.00 -86.00 -39.00 | -55.00 -38.00 -39.00
-63.00 -87.00 -39.00 | -52.00 -40.00 -37.00
-67.00 -85.00 -33.00 | -57.00 -38.00 -32.00
-66.00 -85.00 -31.00 | -56.00 -40.00 -30.00
-70.00 -84.00 -27.00 | -61.00 -37.00 -25.00
-69.00 -85.00 -24.00 | -59.00 -38.00 -20.00
-72.00 -83.00 -21.00 | -59.00 -38.00 -18.00
-70.00 -84.00 -18.00 | -59.00 -38.00 -15.00
-70.00 -84.00 -16.00 | -58.00 -37.00 -13.00
-72.00 -83.00 -11.00 | -60.00 -36.00 -6.00
-70.00 -83.00 -10.00 | -59.00 -37.00 -6.00
-72.00 -82.00 -4.00 | -58.00 -36.00 -1.00
-72.00 -81.00 -1.00 | -57.00 -37.00 0.00
-71.00 -81.00 -2.00 | -57.00 -35.00 4.00
-70.00 -82.00 2.00 | -56.00 -37.00 2.00
-68.00 -82.00 2.00 | -56.00 -37.00 7.00
-69.00 -81.00 6.00 | -54.00 -38.00 6.00
-67.00 -82.00 7.00 | -54.00 -37.00 11.00
-67.00 -81.00 9.00 | -51.00 -37.00 15.00
-64.00 -81.00 11.00 | -50.00 -36.00 17.00
-63.00 -81.00 13.00 | -47.00 -37.00 17.00
-61.00 -81.00 19.00 | -45.00 -38.00 19.00
-58.00 -82.00 20.00 | -43.00 -37.00 24.00
-58.00 -81.00 22.00 | -43.00 -37.00 22.00
-56.00 -82.00 23.00 | -39.00 -36.00 26.00
-55.00 -81.00 25.00 | -37.00 -38.00 26.00
-51.00 -82.00 28.00 | -37.00 -36.00 29.00
-50.00 -82.00 27.00 | -34.00 -37.00 29.00
-49.00 -81.00 31.00 | -33.00 -37.00 32.00
-46.00 -81.00 30.00 | -30.00 -38.00 32.00
-44.00 -82.00 32.00 | -27.00 -37.00 35.00
-41.00 -82.00 32.00 | -27.00 -37.00 34.00
-39.00 -82.00 35.00 | -23.00 -37.00 37.00
-35.00 -81.00 37.00 | -20.00 -37.00 38.00
-33.00 -83.00 36.00 | -17.00 -38.00 37.00
-30.00 -83.00 38.00 | -13.00 -38.00 39.00
-27.00 -84.00 37.00 | -13.00 -39.00 38.00
-26.00 -86.00 35.00 | -8.00 -39.00 38.00
-23.00 -86.00 37.00 | -6.00 -39.00 36.00
-21.00 -85.00 36.00 | -4.00 -39.00 37.00
-16.00 -85.00 38.00 | -1.00 -39.00 36.00
-16.00 -86.00 36.00 | 3.00 -38.00 37.00
-10.00 -87.00 37.00 | 3.00 -41.00 35.00
-6.00 -87.00 34.00 | 8.00 -40.00 34.00
-5.00 -88.00 34.00 | 9.00 -41.00 32.00
-2.00 -89.00 32.00 | 13.00 -41.00 32.00
-2.00 -89.00 30.00 | 15.00 -41.00 31.00
1.00 -89.00 31.00 | 15.00 -42.00 30.00
1.00 -90.00 30.00 | 18.00 -42.00 30.00
2.00 -90.00 29.00 | 16.00 -44.00 27.00
4.00 -90.00 28.00 | 22.00 -42.00 27.00
6.00 -90.00 27.00 | 21.00 -42.00 25.00
12.00 -91.00 26.00 | 27.00 -42.00 24.00
9.00 -91.00 25.00 | 26.00 -43.00 22.00
15.00 -91.00 24.00 | 29.00 -42.00 22.00


4.00 -95.00 18.00 | 27.00 -46.00 18.00
8.00 -95.00 19.00 | 26.00 -46.00 19.00
4.00 -95.00 20.00 | 28.00 -46.00 18.00
9.00 -95.00 21.00 | 28.00 -46.00 19.00
9.00 -95.00 20.00 | 28.00 -45.00 19.00
8.00 -95.00 20.00 | 26.00 -47.00 19.00
9.00 -95.00 19.00 | 28.00 -46.00 17.00
8.00 -96.00 17.00 | 27.00 -48.00 15.00
12.00 -96.00 15.00 | 32.00 -47.00 13.00
10.00 -96.00 15.00 | 28.00 -48.00 13.00
12.00 -97.00 13.00 | 33.00 -47.00 10.00
12.00 -97.00 10.00 | 32.00 -48.00 6.00
14.00 -97.00 8.00 | 34.00 -48.00 5.00
16.00 -97.00 4.00 | 36.00 -49.00 -1.00
16.00 -98.00 2.00 | 33.00 -50.00 -2.00
17.00 -100.00 0.00 | 37.00 -49.00 -4.00
18.00 -99.00 -3.00 | 35.00 -50.00 -8.00
17.00 -100.00 -5.00 | 38.00 -49.00 -11.00
21.00 -101.00 -10.00 | 36.00 -49.00 -14.00
20.00 -100.00 -10.00 | 38.00 -50.00 -17.00
21.00 -99.00 -13.00 | 37.00 -49.00 -16.00
21.00 -100.00 -17.00 | 38.00 -50.00 -21.00
22.00 -101.00 -18.00 | 37.00 -50.00 -26.00
22.00 -100.00 -23.00 | 37.00 -49.00 -28.00
21.00 -100.00 -22.00 | 37.00 -49.00 -32.00
23.00 -100.00 -28.00 | 36.00 -51.00 -32.00
19.00 -100.00 -29.00 | 35.00 -49.00 -37.00
19.00 -100.00 -31.00 | 33.00 -50.00 -37.00
19.00 -99.00 -34.00 | 33.00 -49.00 -43.00
18.00 -101.00 -37.00 | 31.00 -49.00 -44.00
15.00 -100.00 -42.00 | 30.00 -49.00 -48.00
14.00 -101.00 -41.00 | 25.00 -50.00 -47.00
12.00 -100.00 -45.00 | 24.00 -50.00 -49.00
10.00 -99.00 -49.00 | 22.00 -50.00 -50.00
10.00 -100.00 -48.00 | 22.00 -50.00 -53.00
6.00 -99.00 -52.00 | 18.00 -49.00 -57.00
3.00 -99.00 -51.00 | 17.00 -49.00 -57.00
2.00 -98.00 -55.00 | 13.00 -49.00 -59.00
0.00 -99.00 -55.00 | 11.00 -48.00 -59.00
-4.00 -99.00 -56.00 | 8.00 -49.00 -61.00
-5.00 -98.00 -56.00 | 7.00 -50.00 -59.00
-7.00 -98.00 -57.00 | 5.00 -48.00 -62.00
-12.00 -98.00 -61.00 | 1.00 -48.00 -62.00
-12.00 -97.00 -59.00 | -2.00 -47.00 -64.00
-17.00 -97.00 -62.00 | -5.00 -47.00 -63.00
-20.00 -95.00 -62.00 | -6.00 -47.00 -62.00
-21.00 -96.00 -63.00 | -8.00 -47.00 -61.00
-24.00 -96.00 -61.00 | -10.00 -48.00 -61.00
-26.00 -96.00 -60.00 | -14.00 -48.00 -62.00
-29.00 -94.00 -61.00 | -14.00 -47.00 -60.00
-30.00 -95.00 -60.00 | -18.00 -46.00 -62.00
-33.00 -94.00 -60.00 | -20.00 -47.00 -59.00
-38.00 -93.00 -59.00 | -24.00 -46.00 -61.00
-39.00 -94.00 -59.00 | -25.00 -46.00 -58.00
-41.00 -93.00 -59.00 | -27.00 -45.00 -60.00
-43.00 -92.00 -57.00 | -31.00 -45.00 -58.00
-45.00 -91.00 -58.00 | -32.00 -45.00 -60.00
-47.00 -92.00 -56.00 | -34.00 -45.00 -56.00
-48.00 -92.00 -55.00 | -34.00 -45.00 -53.00
-52.00 -91.00 -52.00 | -36.00 -45.00 -53.00
-50.00 -93.00 -50.00 | -36.00 -46.00 -52.00
-54.00 -91.00 -49.00 | -40.00 -44.00 -49.00
-53.00 -92.00 -47.00 | -38.00 -45.00 -48.00
-53.00 -92.00 -44.00 | -39.00 -45.00 -45.00
-59.00 -90.00 -43.00 | -41.00 -45.00 -42.00
-58.00 -90.00 -41.00 | -46.00 -44.00 -42.00
-64.00 -89.00 -35.00 | -46.00 -44.00 -38.00
-63.00 -89.00 -32.00 | -48.00 -44.00 -35.00
-66.00 -89.00 -32.00 | -48.00 -44.00 -33.00
-67.00 -87.00 -27.00 | -53.00 -43.00 -30.00
-69.00 -87.00 -26.00 | -54.00 -42.00 -26.00
-69.00 -86.00 -22.00 | -53.00 -42.00 -24.00
-69.00 -87.00 -19.00 | -56.00 -41.00 -18.00
-71.00 -85.00 -14.00 | -55.00 -41.00 -17.00
-70.00 -86.00 -13.00 | -56.00 -41.00 -13.00
-70.00 -84.00 -11.00 | -55.00 -41.00 -12.00
-70.00 -84.00 -6.00 | -56.00 -40.00 -8.00
-69.00 -85.00 -7.00 | -55.00 -41.00 -4.00
-69.00 -83.00 0.00 | -56.00 -39.00 -1.00
-66.00 -85.00 3.00 | -52.00 -40.00 3.00
-67.00 -84.00 5.00 | -52.00 -40.00 5.00
-63.00 -85.00 7.00 | -50.00 -39.00 6.00
-63.00 -86.00 8.00 | -50.00 -40.00 8.00
-62.00 -86.00 10.00 | -49.00 -40.00 11.00
-60.00 -87.00 9.00 | -49.00 -41.00 9.00
-59.00 -88.00 11.00 | -45.00 -41.00 12.00
-57.00 -88.00 12.00 | -44.00 -43.00 11.00
-56.00 -88.00 12.00 | -43.00 -42.00 13.00
-54.00 -88.00 14.00 | -41.00 -44.00 13.00
-53.00 -90.00 14.00 | -39.00 -42.00 17.00
-49.00 -89.00 19.00 | -35.00 -43.00 20.00
-47.00 -90.00 18.00 | -34.00 -43.00 21.00
-45.00 -89.00 21.00 | -31.00 -43.00 24.00
-42.00 -89.00 22.00 | -27.00 -43.00 25.00
-40.00 -89.00 24.00 | -26.00 -43.00 27.00
-36.00 -89.00 25.00 | -22.00 -43.00 29.00
-35.00 -89.00 27.00 | -17.00 -41.00 33.00
-32.00 -89.00 30.00 | -16.00 -43.00 31.00
-30.00 -89.00 30.00 | -13.00 -41.00 34.00
-29.00 -90.00 31.00 | -12.00 -42.00 32.00
-26.00 -90.00 30.00 | -11.00 -43.00 32.00
-26.00 -91.00 28.00 | -9.00 -43.00 31.00
-22.00 -90.00 30.00 | -6.00 -43.00 33.00
-21.00 -91.00 28.00 | -1.00 -43.00 33.00
-19.00 -92.00 29.00 | -2.00 -43.00 33.00
-18.00 -92.00 28.00 | 2.00 -43.00 33.00
-17.00 -92.00 28.00 | 2.00 -44.00 31.00
-13.00 -91.00 29.00 | 6.00 -44.00 32.00
-12.00 -92.00 27.00 | 6.00 -45.00 30.00
-8.00 -92.00 27.00 | 12.00 -44.00 30.00
-4.00 -93.00 26.00 | 14.00 -44.00 28.00
-2.00 -93.00 28.00 | 17.00 -44.00 29.00
-2.00 -93.00 26.00 | 17.00 -44.00 26.00
0.00 -94.00 24.00 | 20.00 -45.00 25.00
3.00 -94.00 25.00 | 22.00 -44.00 23.00
3.00 -95.00 23.00 | 24.00 -44.00 23.00
8.00 -93.00 23.00 | 29.00 -44.00 22.00
8.00 -94.00 21.00 | 28.00 -45.00 21.00
11.00 -94.00 21.00 | 32.00 -44.00 19.00
12.00 -94.00 20.00 | 29.00 -46.00 17.00


26.00 -644.00 -245.00 | 184.00 -241.00 -148.00
5.00 -138.00 -49.00 | 38.00 -53.00 -29.00
5.00 -138.00 -53.00 | 39.00 -51.00 -31.00
3.00 -139.00 -52.00 | 38.00 -51.00 -28.00
5.00 -136.00 -49.00 | 42.00 -49.00 -27.00
3.00 -139.00 -50.00 | 39.00 -51.00 -27.00
5.00 -135.00 -48.00 | 42.00 -49.00 -28.00
6.00 -135.00 -51.00 | 38.00 -51.00 -30.00
5.00 -136.00 -49.00 | 42.00 -49.00 -29.00
6.00 -135.00 -50.00 | 39.00 -51.00 -30.00
6.00 -136.00 -48.00 | 39.00 -50.00 -27.00
6.00 -134.00 -48.00 | 36.00 -53.00 -31.00
6.00 -137.00 -50.00 | 37.00 -53.00 -30.00
5.00 -136.00 -47.00 | 40.00 -50.00 -31.00
8.00 -132.00 -47.00 | 36.00 -53.00 -31.00
6.00 -137.00 -50.00 | 39.00 -50.00 -29.00
6.00 -134.00 -48.00 | 37.00 -53.00 -30.00
6.00 -136.00 -50.00 | 41.00 -50.00 -28.00
6.00 -135.00 -49.00 | 39.00 -51.00 -30.00
5.00 -136.00 -51.00 | 41.00 -48.00 -28.00
4.00 -139.00 -50.00 | 40.00 -52.00 -30.00
5.00 -135.00 -51.00 | 39.00 -52.00 -27.00
4.00 -139.00 -51.00 | 39.00 -52.00 -29.00
4.00 -137.00 -48.00 | 39.00 -51.00 -27.00
4.00 -138.00 -50.00 | 41.00 -49.00 -29.00
5.00 -136.00 -48.00 | 37.00 -53.00 -30.00
6.00 -134.00 -49.00 | 40.00 -50.00 -30.00
6.00 -136.00 -50.00 | 37.00 -54.00 -30.00
7.00 -134.00 -48.00 | 39.00 -51.00 -28.00
5.00 -136.00 -50.00 | 37.00 -52.00 -31.00
5.00 -138.00 -49.00 | 41.00 -50.00 -29.00
6.00 -136.00 -51.00 | 40.00 -51.00 -31.00
5.00 -138.00 -50.00 | 41.00 -49.00 -28.00
6.00 -136.00 -51.00 | 39.00 -51.00 -31.00
4.00 -138.00 -51.00 | 39.00 -52.00 -29.00
6.00 -136.00 -50.00 | 40.00 -51.00 -30.00
4.00 -139.00 -50.00 | 39.00 -53.00 -27.00
5.00 -136.00 -49.00 | 42.00 -49.00 -29.00
6.00 -135.00 -49.00 | 39.00 -52.00 -29.00
4.00 -137.00 -50.00 | 41.00 -49.00 -29.00
6.00 -134.00 -48.00 | 38.00 -52.00 -30.00
6.00 -137.00 -49.00 | 39.00 -51.00 -27.00
5.00 -138.00 -48.00 | 37.00 -54.00 -31.00
6.00 -136.00 -50.00 | 40.00 -51.00 -29.00
5.00 -138.00 -49.00 | 36.00 -53.00 -30.00
6.00 -136.00 -50.00 | 40.00 -50.00 -29.00
5.00 -138.00 -50.00 | 40.00 -50.00 -31.00
6.00 -134.00 -48.00 | 40.00 -49.00 -29.00
3.00 -139.00 -51.00 | 40.00 -51.00 -31.00
4.00 -136.00 -49.00 | 39.00 -52.00 -28.00
6.00 -135.00 -51.00 | 42.00 -48.00 -29.00
3.00 -139.00 -51.00 | 40.00 -52.00 -27.00
6.00 -134.00 -50.00 | 41.00 -49.00 -28.00
4.00 -137.00 -51.00 | 38.00 -52.00 -30.00
6.00 -137.00 -47.00 | 40.00 -48.00 -28.00
5.00 -138.00 -50.00 | 38.00 -53.00 -30.00
6.00 -137.00 -48.00 | 39.00 -51.00 -27.00
7.00 -134.00 -48.00 | 37.00 -53.00 -31.00
6.00 -137.00 -48.00 | 40.00 -51.00 -28.00
6.00 -135.00 -48.00 | 39.00 -51.00 -32.00
6.00 -136.00 -51.00 | 40.00 -50.00 -29.00
6.00 -134.00 -48.00 | 39.00 -50.00 -32.00
6.00 -137.00 -51.00 | 37.00 -53.00 -29.00
4.00 -139.00 -50.00 | 41.00 -49.00 -28.00
5.00 -135.00 -52.00 | 39.00 -52.00 -29.00
4.00 -139.00 -50.00 | 41.00 -49.00 -28.00
5.00 -136.00 -48.00 | 39.00 -51.00 -30.00
4.00 -138.00 -51.00 | 41.00 -49.00 -28.00
5.00 -137.00 -48.00 | 38.00 -52.00 -30.00
7.00 -133.00 -49.00 | 40.00 -50.00 -27.00
5.00 -136.00 -48.00 | 38.00 -53.00 -30.00
7.00 -134.00 -48.00 | 39.00 -50.00 -29.00
6.00 -137.00 -51.00 | 39.00 -51.00 -32.00
6.00 -133.00 -48.00 | 38.00 -52.00 -30.00
5.00 -136.00 -51.00 | 38.00 -51.00 -32.00
5.00 -138.00 -49.00 | 38.00 -54.00 -31.00
6.00 -135.00 -51.00 | 41.00 -49.00 -28.00
4.00 -138.00 -50.00 | 40.00 -52.00 -29.00
5.00 -135.00 -49.00 | 43.00 -49.00 -28.00
4.00 -139.00 -51.00 | 40.00 -51.00 -29.00
5.00 -135.00 -49.00 | 42.00 -48.00 -28.00
6.00 -135.00 -51.00 | 39.00 -51.00 -30.00
6.00 -136.00 -49.00 | 39.00 -51.00 -27.00
5.00 -135.00 -49.00 | 38.00 -53.00 -30.00
4.00 -138.00 -50.00 | 38.00 -52.00 -28.00
7.00 -133.00 -49.00 | 40.00 -50.00 -31.00
6.00 -138.00 -51.00 | 39.00 -51.00 -29.00
6.00 -137.00 -48.00 | 40.00 -50.00 -31.00
7.00 -134.00 -48.00 | 37.00 -53.00 -31.00
5.00 -138.00 -48.00 | 39.00 -51.00 -31.00
6.00 -134.00 -49.00 | 37.00 -52.00 -30.00
5.00 -137.00 -49.00 | 41.00 -49.00 -27.00
6.00 -134.00 -48.00 | 39.00 -52.00 -28.00
6.00 -136.00 -51.00 | 41.00 -49.00 -27.00
6.00 -135.00 -49.00 | 40.00 -51.00 -29.00
6.00 -135.00 -51.00 | 42.00 -48.00 -28.00
4.00 -140.00 -51.00 | 38.00 -52.00 -29.00
6.00 -136.00 -52.00 | 39.00 -51.00 -27.00
4.00 -139.00 -51.00 | 41.00 -50.00 -30.00
5.00 -136.00 -48.00 | 39.00 -51.00 -28.00
7.00 -134.00 -48.00 | 40.00 -50.00 -31.00
6.00 -136.00 -48.00 | 37.00 -54.00 -30.00
7.00 -133.00 -49.00 | 40.00 -50.00 -31.00
6.00 -137.00 -49.00 | 36.00 -53.00 -30.00
7.00 -134.00 -48.00 | 40.00 -48.00 -29.00
5.00 -137.00 -51.00 | 38.00 -52.00 -29.00
5.00 -138.00 -48.00 | 42.00 -49.00 -28.00
5.00 -136.00 -51.00 | 40.00 -50.00 -30.00
4.00 -139.00 -50.00 | 42.00 -49.00 -28.00
5.00 -135.00 -49.00 | 39.00 -51.00 -29.00
6.00 -136.00 -52.00 | 40.00 -52.00 -26.00
5.00 -136.00 -49.00 | 41.00 -49.00 -29.00
6.00 -135.00 -51.00 | 40.00 -51.00 -27.00
6.00 -136.00 -48.00 | 40.00 -49.00 -30.00
6.00 -134.00 -49.00 | 36.00 -53.00 -31.00
5.00 -138.00 -50.00 | 40.00 -50.00 -30.00
7.00 -134.00 -49.00 | 37.00 -53.00 -31.00
5.00 -137.00 -50.00 | 39.00 -50.00 -29.00
5.00 -136.00 -47.00 | 37.00 -53.00 -31.00
5.00 -136.00 -50.00 | 40.00 -50.00 -29.00


